rank,name,group,category,district,label,age,capacity,price,reservation_url,guide_url,score
1,서울형키즈카페 시립 한성백제박물관점 (서울백제어린이박물관),서울형키즈카페,일반형 키즈카페,송파구,예약가능,0 ~ 3세 (연나이 기준),개인 20 명 단체 20 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260212124817770687,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=SP260101&q_fcltyStle=2001,131
2,서울형 키즈카페 중구 을지로동점(노리몽땅),서울형키즈카페,일반형 키즈카페,중구,예약가능,0 ~ 6세 (연나이 기준),개인 58 명 단체 58 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=JG251201&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=JG251201&q_fcltyStle=2001,126
3,서울형 키즈카페 영등포구 대림2동점,서울형키즈카페,일반형 키즈카페,영등포구,예약가능,0 ~ 6세 (연나이 기준),개인 52 명 단체 52 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=YF231001&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=YF231001&q_fcltyStle=2001,125
4,서울형 키즈카페 송파구 장지동점(하하호호놀이터 송파구5호점),서울형키즈카페,일반형 키즈카페,송파구,예약가능,0 ~ 6세 (연나이 기준),개인 46 명 단체 30 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=SP251101&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=SP251101&q_fcltyStle=2001,124
5,서울형 키즈카페 시립 뚝섬자벌레점,서울형키즈카페,일반형 키즈카페,광진구,예약가능,0 ~ 6세 (연나이 기준),개인 43 명 단체 43 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=GJ240401&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GJ240401&q_fcltyStle=2001,123
6,서울형 키즈카페 서초구 양재1동점(서리풀노리학교 양재1동점),서울형키즈카페,일반형 키즈카페,서초구,예약가능,0 ~ 6세 (연나이 기준),개인 42 명 단체 30 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=SC231201&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=SC231201&q_fcltyStle=2001,123
7,서울형 키즈카페 성북구 보문동점,서울형키즈카페,일반형 키즈카페,성북구,예약가능,0 ~ 6세 (연나이 기준),개인 27 명 단체 40 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=SB251201&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=SB251201&q_fcltyStle=2001,123
8,서울형 키즈카페 중구 중림동점(노리몽땅),서울형키즈카페,일반형 키즈카페,중구,예약가능,0 ~ 6세 (연나이 기준),개인 38 명 단체 38 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=JG240301&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=JG240301&q_fcltyStle=2001,122
9,서울형 키즈카페 강동구 성내1동점(아이·맘 강동),서울형키즈카페,일반형 키즈카페,강동구,예약가능,0 ~ 6세 (연나이 기준),개인 22 명 단체 30 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=GD240101&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GD240101&q_fcltyStle=2001,121
10,서울형 키즈카페 관악구 신사동점,서울형키즈카페,일반형 키즈카페,관악구,예약가능,0 ~ 6세 (연나이 기준),개인 15 명 단체 30 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=GA251101&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GA251101&q_fcltyStle=2001,121
11,서울형 키즈카페 동작구 대방동점(동작키즈카페),서울형키즈카페,일반형 키즈카페,동작구,예약가능,0 ~ 6세 (연나이 기준),개인 23 명 단체 30 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=DJ230701&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=DJ230701&q_fcltyStle=2001,121
12,서울형 키즈카페 동작구 사당3동점(동작키즈카페),서울형키즈카페,일반형 키즈카페,동작구,예약가능,0 ~ 6세 (연나이 기준),개인 19 명 단체 30 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=DJ241203&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=DJ241203&q_fcltyStle=2001,121
13,서울형 키즈카페 서초구 서초1동점(서리풀노리학교 서초1동점),서울형키즈카페,일반형 키즈카페,서초구,예약가능,0 ~ 6세 (연나이 기준),개인 24 명 단체 30 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=SC240801&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=SC240801&q_fcltyStle=2001,121
14,서울형 키즈카페 성동구 금호2·3가동점(금호 키즈카페),서울형키즈카페,일반형 키즈카페,성동구,예약가능,0 ~ 6세 (연나이 기준),개인 24 명 단체 32 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=SD221201&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=SD221201&q_fcltyStle=2001,121
15,서울형 키즈카페 중랑구 망우본동점(중랑실내놀이터 양원),서울형키즈카페,일반형 키즈카페,중랑구,예약가능,2 ~ 8세 (연나이 기준),개인 73 명 단체 80 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=JR240501&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=JR240501&q_fcltyStle=2001,120
16,서울형키즈카페 시립 옴팡점,서울형키즈카페,일반형 키즈카페,노원구,예약가능,0 ~ 13세 (연나이 기준),개인 80 명 단체 70 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S251118144705678859,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=NW240901&q_fcltyStle=2001,117
17,서울형 키즈카페 동작구 사당2동점(동작키즈카페),서울형키즈카페,일반형 키즈카페,동작구,예약가능,0 ~ 6세 (연나이 기준),개인 18 명 단체 25 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=DJ251003&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=DJ251003&q_fcltyStle=2001,117
18,서울형 키즈카페 동작구 상도1동2호점(동작키즈카페),서울형키즈카페,일반형 키즈카페,동작구,예약가능,0 ~ 6세 (연나이 기준),개인 15 명 단체 25 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=DJ241204&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=DJ241204&q_fcltyStle=2001,117
19,서울형 키즈카페 동작구 상도2동점(동작키즈카페),서울형키즈카페,일반형 키즈카페,동작구,예약가능,0 ~ 6세 (연나이 기준),개인 28 명 단체 28 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=DJ241202&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=DJ241202&q_fcltyStle=2001,117
20,서울형 키즈카페 서초구 방배2동점(서리풀노리학교 방배2동점),서울형키즈카페,일반형 키즈카페,서초구,예약가능,0 ~ 6세 (연나이 기준),개인 28 명 단체 20 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=SC240404&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=SC240404&q_fcltyStle=2001,117
21,서울형 키즈카페 중구 신당동점(노리몽땅),서울형키즈카페,일반형 키즈카페,중구,예약가능,0 ~ 6세 (연나이 기준),개인 25 명 단체 25 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=JG250301&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=JG250301&q_fcltyStle=2001,117
22,서울형 키즈카페 강남구 대치1동점,서울형키즈카페,일반형 키즈카페,강남구,예약가능,0 ~ 6세 (연나이 기준),개인 24 명 단체 24 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=GN251201&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GN251201&q_fcltyStle=2001,116
23,서울형 키즈카페 강남구 역삼1동점,서울형키즈카페,일반형 키즈카페,강남구,예약가능,0 ~ 6세 (연나이 기준),개인 24 명 단체 24 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=GN240902&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GN240902&q_fcltyStle=2001,116
24,서울형 키즈카페 강동구 암사1동점(아이·맘 강동),서울형키즈카페,일반형 키즈카페,강동구,예약가능,0 ~ 6세 (연나이 기준),개인 17 명 단체 24 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=GD230202&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GD230202&q_fcltyStle=2001,116
25,서울형 키즈카페 금천구 시흥1동 나래랑키즈랑점,서울형키즈카페,일반형 키즈카페,금천구,예약가능,0 ~ 6세 (연나이 기준),개인 19 명 단체 22 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=KC240902&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=KC240902&q_fcltyStle=2001,116
26,서울형 키즈카페 금천구 아이세상놀이터점,서울형키즈카페,일반형 키즈카페,금천구,예약가능,0 ~ 6세 (연나이 기준),개인 18 명 단체 22 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=KC240901&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=KC240901&q_fcltyStle=2001,116
27,서울형 키즈카페 도봉구 창3동점(우당탕탕 숲속대탐험),서울형키즈카페,일반형 키즈카페,도봉구,예약가능,0 ~ 6세 (연나이 기준),개인 22 명 단체 22 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=DB241101&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=DB241101&q_fcltyStle=2001,116
28,서울형키즈카페 동대문구 장안1동점,서울형키즈카페,일반형 키즈카페,동대문구,예약가능,0 ~ 6세 (연나이 기준),개인 12 명 단체 20 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=DM250304&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=DM250304&q_fcltyStle=2001,116
29,서울형키즈카페 동대문구 제기동점,서울형키즈카페,일반형 키즈카페,동대문구,예약가능,0 ~ 6세 (연나이 기준),개인 12 명 단체 20 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=DM250301&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=DM250301&q_fcltyStle=2001,116
30,서울형 키즈카페 동작구 상도3동점(동작키즈카페),서울형키즈카페,일반형 키즈카페,동작구,예약가능,0 ~ 6세 (연나이 기준),개인 14 명 단체 20 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=DJ221102&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=DJ221102&q_fcltyStle=2001,116
31,서울형 키즈카페 동작구 흑석동점(동작키즈카페),서울형키즈카페,일반형 키즈카페,동작구,예약가능,0 ~ 6세 (연나이 기준),개인 14 명 단체 20 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=DJ241006&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=DJ241006&q_fcltyStle=2001,116
32,서울형 키즈카페 서초구 양재1동2호점(서리풀노리학교 양재1동2호점),서울형키즈카페,일반형 키즈카페,서초구,예약가능,0 ~ 6세 (연나이 기준),개인 17 명 단체 20 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=SC251201&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=SC251201&q_fcltyStle=2001,116
33,서울형 키즈카페 양천구 목3동점,서울형키즈카페,일반형 키즈카페,양천구,예약가능,0 ~ 6세 (연나이 기준),개인 20 명 단체 20 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=YC260201&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=YC260201&q_fcltyStle=2001,116
34,서울형 키즈카페 영등포구 신길4동점,서울형키즈카페,일반형 키즈카페,영등포구,예약가능,0 ~ 6세 (연나이 기준),개인 20 명 단체 20 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=YF241001&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=YF241001&q_fcltyStle=2001,116
35,서울형 키즈카페 강동구 고덕2동점(아이·맘 강동),서울형키즈카페,일반형 키즈카페,강동구,예약가능,0 ~ 6세 (연나이 기준),개인 12 명 단체 16 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=GD230201&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GD230201&q_fcltyStle=2001,115
36,서울형 키즈카페 강동구 상일2동점(아이·맘 강동),서울형키즈카페,일반형 키즈카페,강동구,예약가능,0 ~ 6세 (연나이 기준),개인 14 명 단체 19 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=GD231201&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GD231201&q_fcltyStle=2001,115
37,서울형 키즈카페 강동구 성내2동점(아이·맘 강동),서울형키즈카페,일반형 키즈카페,강동구,예약가능,0 ~ 6세 (연나이 기준),개인 10 명 단체 15 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=GD250601&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=GD250601&q_fcltyStle=2001,115
38,서울형 키즈카페 동작구 사당1동점(동작키즈카페),서울형키즈카페,일반형 키즈카페,동작구,예약가능,0 ~ 6세 (연나이 기준),개인 15 명 단체 15 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=DJ260201&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=DJ260201&q_fcltyStle=2001,115
39,서울형 키즈카페 동작구 상도4동 2호점(동작키즈카페),서울형키즈카페,일반형 키즈카페,동작구,예약가능,0 ~ 6세 (연나이 기준),개인 10 명 단체 15 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=DJ241004&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=DJ241004&q_fcltyStle=2001,115
40,서울형 키즈카페 성동구 성수1가1동점(성수 키즈카페),서울형키즈카페,일반형 키즈카페,성동구,예약가능,0 ~ 6세 (연나이 기준),개인 9 명 단체 18 명,서울형 키즈카페 기준 별도 현장 확인 필요,https://umppa.seoul.go.kr/icare/user/kidsCafeResve/BD_selectKidsCafeResveCal.do?q_fcltyId=SD240701&q_fcltyStle=2001,https://umppa.seoul.go.kr/icare/user/kidsCafe/BD_selectKidsCafeView.do?q_fcltyId=SD240701&q_fcltyStle=2001,115
